BRA	BGR	CAN	CHL	EST	FIN	GEO	IDN	ITA	LVA	LTU	NLD	PER	POL	PRT	RUS	SRB	SVK	ESP	USA
NA	0.152123	34.825	10.2099	3.37027	10.109	0.100619	NA	17.0388	0.208984	0.185178	55.8143	2.16819	0.016498	5.66922	0.002851	NA	4.09654	6.70848	20.8056
NA	0.218198	32.3104	8.8821	7.26215	16.1411	0.002106	NA	25.4413	0.420154	0.178783	60.8942	3.25818	0.027344	6.4411	0.016471	NA	2.1303	13.1148	18.0724
0.535891	0.002842	31.3412	11.0889	5.63882	15.5956	0.001957	0.009616	20.9507	0.348641	0.138786	54.5033	3.77437	0.056687	6.21686	0.031735	NA	2.6871	10.5023	15.24
0.468384	0.004915	26.8099	15.3186	7.85716	16.4397	0.001744	0.010578	19.9266	0.362865	0.254916	46.0922	4.21137	0.095128	6.25541	0.014251	NA	5.06949	7.5416	12.5633
0.465039	0.012717	31.0154	28.1096	33.46	21.0926	0.001894	0.012279	21.5027	0.294674	0.216734	61.4018	6.59858	0.10528	6.14588	0.020801	NA	39.722	8.92968	18.1478
0.351418	0.074586	31.2178	27.2738	69.4035	27.0772	0.000294	0.018189	22.9081	0.412923	0.516062	68.0428	6.51516	0.291651	8.75018	0.020015	NA	49.595	10.3125	20.9634
0.314986	0.078173	32.6757	29.0988	113.39	31.5565	0.000225	0.030147	23.3958	0.700628	3.04887	69.9512	7.43724	0.549119	13.9352	0.040652	NA	31.6097	11.1757	25.4491
0.338891	0.488805	37.9829	30.2832	164.699	44.4527	0.028445	0.089366	28.8645	0.992602	6.78793	77.2071	9.53614	1.51239	18.961	0.046037	NA	53.2244	14.7995	31.3361
0.468692	0.923016	41.668	40.3538	206.96	47.9027	0.001586	0.184006	27.5231	1.22532	9.89117	78.7519	10.5075	2.8057	21.2169	0.295307	NA	57.2943	14.2124	36.3136
0.284697	0.296591	23.0513	20.5093	72.7104	22.3242	0.001207	0.087468	13.8351	1.01398	6.01022	45.2431	7.39366	0.791485	12.3641	0.160008	0.109	24.8719	5.79984	18.6805
0.518375	0.955095	35.0163	44.2798	126.477	40.9911	0.012469	0.147085	19.2847	2.08122	11.7299	67.7501	10.8562	1.99163	15.7807	0.192747	0.156	1.28235	8.28873	27.6511
0.666891	1.66617	35.7436	46.2783	170.865	53.1314	0.016392	0.125433	23.0002	3.05848	16.1284	76.6309	10.6575	2.25214	15.271	0.243234	0.115	1.56296	9.62023	32.6856
0.646107	1.04457	32.5307	32.8881	8.96601	41.47	0.012029	0.140983	19.7915	2.91646	12.5746	67.9087	10.5466	1.33731	11.3246	0.220239	0.108	1.27899	7.65384	28.962
0.542226	1.29818	38.5091	36.9205	10.9938	54.4325	0.203261	0.187867	26.1047	3.62659	14.873	85.9622	11.4039	1.8357	13.3856	0.238497	NA	2.58318	10.32	32.857
0.684638	1.56826	46.493	39.4097	12.9823	61.0559	0.143181	0.266722	32.6966	3.92811	15.7054	95.0297	11.2516	2.12158	15.5239	0.140696	0.135647	3.50214	14.0437	38.5638
0.935178	2.42347	51.9569	45.1001	11.7033	62.2846	0.08088	0.35772	34.5868	5.43604	16.0223	97.3659	13.1999	2.27822	14.7085	0.214806	0.083552	3.97683	15.4336	38.6413
1.26826	3.06108	59.8066	45.8518	13.4107	72.1728	0.079446	0.446929	42.0793	5.94544	6.88875	102.56	13.7036	4.79838	17.2067	0.206055	0.076142	5.29976	20.4815	37.0825
1.25629	3.94799	65.8692	44.6377	14.2766	73.5585	0.141055	0.454473	43.3739	6.96505	7.10582	107.082	14.4121	3.59575	16.1133	0.249675	0.139607	6.45377	19.9003	38.2009
1.51367	3.86003	78.1948	50.8159	16.0816	89.5258	0.506562	0.586325	54.7171	9.89335	9.04993	120.953	NA	4.28155	19.7672	0.295685	0.223112	9.03686	27.0201	46.8529

