BRA	BGR	CAN	CHL	EST	FIN	IDN	ITA	LVA	LTU	NLD	PER	POL	PRT	RUS	SRB	SVK	ESP	USA
14.1372	3.16009	52.9916	49.8474	5.5769	67.9409	1.59838	3.89273	2.24253	2.04744	93.4304	13.8623	10.8312	12.2332	1.29081	0.159556	4.63404	7.12974	94.9747
15.3004	4.32435	73.4062	61.928	8.27592	82.2863	1.79759	4.75267	4.27537	3.59298	110.981	18.7704	13.0476	13.3279	1.75907	0.235514	6.19422	7.95587	112.326
14.4473	5.33284	73.7139	62.4251	9.00908	87.7023	1.83155	5.29404	6.58127	4.04654	121.152	20.5486	15.3229	11.755	1.80403	0.303415	7.22438	7.94229	119.817
13.6362	5.66221	69.1463	57.7257	8.37296	50.5333	1.74347	5.65848	6.16396	3.86462	127.819	17.4023	14.5366	7.51438	1.98061	0.344724	8.20996	7.85717	116.712
14.0682	6.92573	75.4844	59.6902	9.83156	53.6941	1.78453	6.62592	7.62996	4.28784	145.116	19.0337	16.7737	8.59333	2.26993	0.420238	9.3758	8.37861	123.379
12.7828	8.31742	75.8731	61.9154	10.8907	56.8118	1.65093	7.38209	8.44948	4.60706	148.896	18.6886	18.2026	8.90238	2.80588	0.478034	9.70421	9.0764	135.725
12.1851	9.74802	80.0611	67.6069	12.6731	59.6694	1.76107	8.2724	9.82731	5.2472	173.349	19.9465	8.73185	10.1146	2.7509	0.567233	10.4403	9.69137	136.844
12.044	10.5425	83.9609	68.5648	14.3478	58.2415	1.73607	8.61717	11.0303	5.82997	170.42	20.7113	7.92621	10.1018	3.46847	0.670217	10.1556	9.60797	131.879
12.6992	11.4281	90.5408	68.7853	15.9961	59.2036	1.84479	9.27694	12.6538	6.62577	182.229	20.7635	8.27521	9.9035	4.01723	0.725461	11.1219	9.49172	135.789
12.834	12.5324	94.6528	72.0403	17.0846	60.4867	1.87863	9.70883	13.7206	7.13948	196.866	22.3645	9.0602	10.1236	4.22146	0.761405	11.7576	9.43421	144.565

