CNT	Year	pop0to14_f	pop0to14_m	pop15to64_f	pop15to64_m	pop65plus_f	pop65plus_m	per15to19_f	per15to19_m
BRA	2018	21864174	22824116	73969881	72120483	10639033	8051645	7.72358038554365	8.26104242505399
BGR	2018	498285	527046	2232418	2290464	881156	595668	4.00256956172644	4.51908867516285
CAN	2018	2871286	3009831	12344185	12446537	3458504	2927422	5.3033552314401	5.67113493870555
CHL	2018	1816837	1882893	6451161	6418809	1232749	926711	6.62705575875589	7.05223951759435
EST	2018	104955	111284	423454	422838	170367	89079	4.08568351897905	4.79281382588087
FIN	2018	434984	455503	1689720	1737291	672812	525215	5.14466296597369	5.56537453040396
GEO	2018	352762	384927	1249601	1185303	346296	207660	4.93428690181015	6.13141155205168
IDN	2018	34654540	36413326	89642490	91275605	8581490	7095983	8.51399555449369	8.89259044115612
ITA	2018	3906921	4146732	19350548	19270471	7785219	5961868	4.43116559586928	5.03232334005269
LVA	2018	149303	158963	632172	600459	259395	126882	3.76241521172467	4.62760007937796
LTU	2018	202991	213972	938350	894265	365665	186301	4.29005254642441	5.28224398414106
NLD	2018	1350570	1425116	5520618	5627462	1782696	1525161	5.79024944581085	6.15284485982717
PER	2018	4092071	4158102	10630424	10521175	1380179	1207306	8.17279585420512	7.94513635937033
POL	2018	2785016	2931104	12749478	12857013	4034163	2617976	4.4726131031155	4.92879777309693
PRT	2018	674461	709419	3435951	3206061	1310392	947538	4.87899168368404	5.60263276832431
RUS	2018	12606337	13275072	50684575	46709102	14238454	6964320	4.16950269880034	5.04796323171088
SRB	2018	529120	566431	2302946	2303095	729238	551774	5.5809400350141	6.20476448492866
SVK	2018	410724	430599	1869171	1885013	516386	334878	4.6454923185954	5.15860199756626
ESP	2018	3325273	3538356	15354398	15510380	5138814	3930533	4.5123397129547	4.92762835486269
USA	2018	29880716	31239420	106579196	107346573	28582660	23058935	6.30565568050364	6.69996338459595
BRA	2009	24081004	25036304	66820002	65082952	7310951	5555294	8.62767869117687	9.13678725572043
BGR	2009	485611	514109	2548472	2566806	785487	543958	5.36267861925584	5.97800070678253
CAN	2009	2729634	2878473	11618288	11738908	2597144	2066447	6.44539088173925	6.87982832130956
CHL	2009	1867790	1937569	5806444	5728888	901827	643668	8.41457499131303	8.98197186949316
EST	2009	97322	102927	461140	441136	154984	77005	5.64386070030631	6.86769889872376
FIN	2009	434812	454142	1756621	1795010	528782	369504	6.03998243902797	6.52034617132786
GEO	2009	323247	363767	1337154	1243334	336731	210186	6.93907204875238	8.1660281530252
IDN	2009	33587386	35404970	78322240	79453125	6561865	5290976	8.89487105028065	9.02095727468279
ITA	2009	4055644	4291063	19514910	19283249	6919038	5031461	4.58456900508295	5.18080659086809
LVA	2009	146585	153593	754064	701907	260196	125326	6.03819937859775	7.3887352736365
LTU	2009	231978	244091	1113032	1033322	360039	180454	6.7113311733189	8.16707469274745
NLD	2009	1423274	1501280	5498666	5616146	1401860	1089160	5.95386817009803	6.30859865751452
PER	2009	4292948	4478487	9192357	9083092	946138	799633	9.55820299932502	10.5604219029921
POL	2009	2862509	3014980	13675258	13525630	3168810	1904416	6.39654147246178	7.19086392287727
PRT	2009	782446	820636	3590845	3441092	1124940	808288	5.0314254506091	5.71245478848876
RUS	2009	10292527	10811436	53390561	49417852	12852709	6020263	6.04346719182513	7.32097105023798
SRB	2009	623469	662351	2494134	2473422	616273	451158	6.41149215294479	7.06721693472104
SVK	2009	407618	428235	1952511	1937777	414230	246035	6.57200175560119	7.31548918064933
ESP	2009	3319701	3525258	15615003	16061095	4504317	3337572	4.74330182509059	5.16273405702225
USA	2009	30509793	31946371	102536853	102625726	22251373	16901413	6.95663756852088	7.5195065047689

