"",fki,sub_ind_ec,sub_ind_et,sub_ind_u,sub_ind_n
NLD,0.94,0.939,0.64,1.805,1
USA,0.937,0.99,0.589,0.856,1.406
CAN,0.784,0.858,0.409,1.637,0.953
ITA,0.762,0.767,0.602,1.069,0.807
FIN,0.724,0.85,0.685,1.127,0.562
ESP,0.627,0.735,0.464,0.635,0.726
LTU,0.613,0.664,0.632,0.243,0.836
PRT,0.591,0.639,0.401,0.63,0.762
BGR,0.583,0.396,0.76,0.384,0.729
EST,0.577,0.672,0.746,0.266,0.575
SVK,0.559,0.608,0.924,0.301,0.441
POL,0.555,0.595,0.699,0.286,0.572
LVA,0.55,0.573,0.633,0.161,0.795
CHL,0.544,0.449,0.302,0.761,0.908
RUS,0.45,0.536,0.597,0.083,0.639
GEO,0.424,0.141,0.547,0.21,0.997
SRB,0.423,0.249,0.5,0.193,0.742
PER,0.309,0.078,0.194,0.691,0.877
BRA,0.141,0.155,0.01,0.432,0.833
IDN,0.122,0.01,0.04,0.973,0.787
