cnt_name	cnt_code	fki	sch_tot_m	sch_tot_sd	sch_ind_m	sch_ind_sd	sch_dir_m	sch_dir_sd	fam_tot_m	fam_tot_sd	fam_ind_m	fam_ind_sd	fam_dir_m	fam_dir_sd
BRA	76	0.141	-0.089	0.014	0.051	0.05	0.14	0.014	0.097	0.017	0.051	0.005	0.046	0.017
BGR	100	0.583	-0.023	0.021	0.042	0.007	-0.064	0.023	0.052	0.02	0.028	0.005	0.024	0.02
CAN	124	0.784	-0.02	0.02	0.095	0.01	-0.114	0.021	-0.021	0.02	0.015	0.006	-0.036	0.02
CHL	152	0.544	-0.051	0.021	0.041	0.008	-0.092	0.022	0.087	0.019	0.04	0.007	0.046	0.019
EST	233	0.577	0.027	0.047	0.066	0.019	-0.039	0.049	-0.049	0.32	0.024	0.297	-0.074	0.031
FIN	246	0.724	0.184	0.019	0.103	0.009	0.081	0.017	-0.073	0.016	0.02	0.006	-0.093	0.016
GEO	268	0.424	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
IND	360	0.122	0.01	0.031	0.051	0.009	-0.04	0.032	-0.007	0.031	0.028	0.006	-0.035	0.031
ITA	380	0.762	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
LAV	428	0.55	-0.025	0.024	0.066	0.008	-0.091	0.023	-0.022	0.022	0.031	0.006	-0.053	0.022
LTU	440	0.613	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
NLD	528	0.94	0.082	0.02	0.084	0.009	-0.002	0.022	-0.065	0.022	0.011	0.006	-0.077	0.022
PER	604	0.309	0.07	0.02	0.094	0.009	-0.024	0.021	0.049	0.021	0.041	0.006	0.008	0.021
POL	616	0.555	-0.073	0.018	0.055	0.006	-0.129	0.018	-0.026	0.018	0.035	0.005	-0.061	0.017
PRT	620	0.591	-0.047	0.02	0.009	0.008	-0.057	0.022	0.089	0.021	0.007	0.004	0.083	0.022
RUS	643	0.45	0.07	0.018	0.063	0.007	0.008	0.018	-0.011	0.017	0.033	0.005	-0.043	0.017
SRB	688	0.423	-0.031	0.012	0.065	0.004	-0.096	0.012	0.005	0.011	0.028	0.003	-0.024	0.01
SVK	703	0.559	0.004	0.023	0.062	0.008	-0.057	0.024	0.022	0.025	0.035	0.006	-0.013	0.024
ESP	724	0.627	0.011	0.019	0.083	0.009	-0.071	0.02	0.019	0.019	0.021	0.004	-0.002	0.019
USA	810	0.937	-0.072	0.02	0.061	0.008	-0.132	0.019	-0.008	0.019	0.014	0.005	-0.021	0.019
