,,1,2,3,4,5,6,7,8,9,10,11,12
1,FLSCHOOL,1.04,0.208,-0.083,0.007,0.012,-0.001,0.058,0.299,0.21,-0.031,,
2,FLFAMILY,0.221,1.09,-0.034,0.032,-0.005,-0.006,-0.046,0.155,0.184,0.002,,
3,NOBULLY,-0.089,-0.037,1.11,0.047,-0.016,0.002,-0.097,0.048,-0.014,0.125,,
4,ESCS,0.008,0.036,0.052,1.183,0.004,0.014,0.017,0.202,0.116,0.446,,
5,IMMI1GEN,0.002,-0.001,-0.003,0.001,0.028,-0.036,0.007,-0.001,0.001,-0.009,,
6,IMMI2GEN,0,-0.001,0.001,0.003,-0.001,0.041,0.006,0.002,-0.001,0.025,,
7,MALE,0.029,-0.024,-0.051,0.009,0.001,0.001,0.25,0.024,0.135,-0.001,,
8,FCFMLRTY,1.653,0.879,0.278,1.19,-0.001,0.003,0.062,29.752,0.264,0.305,,
9,FLCONFIN,0.218,0.195,-0.015,0.126,0,0,0.038,1.464,1.034,0.155,,
10,FLIT,-3.007,0.148,12.385,47.106,-0.139,0.486,-0.035,160.449,14.99,9423.32,,
11,EDUSHORT,,,,,,,,,,,1.059,-0.011
12,STRATIO,,,,,,,,,,,-0.115,97.564
