"Country Name","Country Code","Chi-Sq","Chi-Sq SD","Chi-sq DF","CFI","CFI SD","TLI","TLI SD","RMSEA","SRMR Within","SRMR Between","AIC","AIC SD","BIC","BIC SD","aBIC","aBIC SD"
"BRA","76","712.433","4.486","20","0.73","0.003","0.339","0.008","0.067","0.06","0.11","202357.577","125.076","202684.827","125.076","202535.47","125.076"
"BGR","100","244.794","2.159","20","0.798","0.002","0.505","0.006","0.054","0.043","0.06","101886.365","49.354","102180.083","49.354","102030.739","49.354"
"CAN","124","365.311","1.036","20","0.808","0.002","0.528","0.006","0.049","0.054","0.065","203414.169","121.213","203737.582","121.213","203588.227","121.213"
"CHL","152","279.974","6.276","20","0.801","0.007","0.512","0.017","0.055","0.048","0.155","111870.102","103.943","112168.937","103.943","112019.591","103.943"
"EST","233","4297.642","11270.942","20","0.693","0.245","-6.899","20.811","0.128","0.043","0.062","110770.802","53.296","111066.892","53.296","110917.547","53.296"
"FIN","246","369.225","1.052","20","0.846","0.003","0.622","0.006","0.064","0.055","0.033","114451.42","57.705","114749.656","57.705","114600.31","57.705"
"GEO","268","246.702","1.421","20","0.809","0.003","0.532","0.008","0.053","0.042","0.039","109083.954","88.122","109380.567","88.122","109231.221","88.122"
"IND","360","336.559","1.046","20","0.777","0.002","0.454","0.006","0.048","0.056","0.068","191221.959","142.253","191543.69","142.253","191394.335","142.253"
"ITA","380","264.051","0.529","20","0.846","0.002","0.623","0.005","0.037","0.041","0.094","238241.725","150.082","238574.752","150.082","238425.394","150.082"
"LVA","428","290.032","0.728","20","0.735","0.005","0.351","0.013","0.066","0.052","0.195","83654.265","62.531","83937.618","62.531","83788.28","62.531"
"LTU","440","315.415","0.6","20","0.767","0.004","0.429","0.01","0.062","0.045","0.041","110085.531","73.597","110380.15","73.597","110230.805","73.597"
"PER","604","760.787","4.609","20","0.737","0.004","0.355","0.009","0.09","0.077","0.099","120265.309","79.57","120567.831","79.57","120418.483","79.57"
"POL","616","352.145","1.121","20","0.784","0.004","0.471","0.011","0.063","0.05","0.05","118342.637","86.297","118640.862","86.297","118491.516","86.297"
"RUS","643","340.84","0.94","20","0.817","0.003","0.551","0.007","0.043","0.047","0.029","247260.581","161.017","247593.698","161.017","247444.34","161.017"
"SRB","688","138.194","0.475","20","0.873","0.003","0.689","0.007","0.04","0.034","0.115","100968.357","79.352","101261.182","79.352","101111.838","79.352"
"ESP","724","220.048","1.012","20","0.892","0.001","0.735","0.004","0.033","0.032","0.068","243466.102","122.972","243800.317","122.972","243650.959","122.972"
"USA","840","324.134","4.749","20","0.816","0.003","0.548","0.008","0.065","0.05","0.105","103870.215","81.982","104161.2","81.982","104011.858","81.982"
"Summary","Median","324.134","","","0.801","","0.512","","0.055","0.048","0.068","114451.42","","114749.656","","114600.31",""
"","Mean","579.899","","","0.796","","0.079","","0.06","0.049","0.082","147718.298","","148025.285","","147875.936",""
"","SD","971.068","","","0.053","","1.802","","0.022","0.01","0.045","58011.936","","58029.117","","58029.11",""
"","Min","138.194","","","0.693","","-6.899","","0.033","0.032","0.029","83654.265","","83937.618","","83788.28",""
"","Max","4297.642","","","0.892","","0.735","","0.128","0.077","0.195","247260.581","","247593.698","","247444.34",""
